,D,R,C,NetEffect,Cluster,Category
F28,-1.7648,-0.7098,-1.055,0.3452,محیطی/قانونی,Cause (Driver)
F24,-1.8641,-0.812,-1.0521,0.2401,مالی,Cause (Driver)
F20,-1.8953,-0.8441,-1.0512,0.2071,مالی,Cause (Driver)
F06,-1.9531,-0.9036,-1.0495,0.1459,فنی,Cause (Driver)
F16,-1.9531,-0.9036,-1.0495,0.1459,سازمانی/مدیریتی,Cause (Driver)
F14,-1.9531,-0.9036,-1.0495,0.1459,سازمانی/مدیریتی,Cause (Driver)
F35,-1.9531,-0.9036,-1.0495,0.1459,اجتماعی-فرهنگی,Cause (Driver)
F19,-1.9531,-0.9036,-1.0495,0.1459,مالی,Cause (Driver)
F10,-1.9661,-0.917,-1.0491,0.1321,عملیاتی,Cause (Driver)
F32,-2.0058,-0.9579,-1.0479,0.09,اجتماعی-فرهنگی,Cause (Driver)
F13,-2.02,-0.9725,-1.0475,0.075,سازمانی/مدیریتی,Cause (Driver)
F25,-2.02,-0.9725,-1.0475,0.075,محیطی/قانونی,Cause (Driver)
F04,-2.0693,-1.0232,-1.0461,0.0228,فنی,Balanced
F36,-2.3552,-1.3176,-1.0376,-0.2799,اجتماعی-فرهنگی,Effect (Consequence)
